News Title,Ethicality,Visibility,Accountability
Russian sniper kills elderly man in Mariupol district,0,8,10
Russian forces strike civilians near school in northern Kharkiv,0,9,10
Russian airstrike on a vehicle in Kyiv suburb,0,8,10
Summary execution of Oleksiy Bondarenko in Bucha detention facility,0,9,10
Deadly coordinated Russian soldier and militia attacks on Izium Balakliia and Lyman,0,9,10
Russia bombs a mourning gathering in Kramatorsk,0,9,10
Russia kills man gathering firewood in Zaporizhzhia,0,8,10
Young man killed by Russian gunfire in Kherson,0,8,10
Child killed in Russian strike near Kharkiv police station,0,9,10
Russia murders local police officer in Mariupol,0,8,10
Summary execution of Vasyl Kovalenko during a raid on Sumy,0,9,10
Piracy and abduction of crew members of the Black Sea Convoy,1,7,9
Summary execution of Mykola Petrenko during a home invasion in Irpin,0,9,10
Summary execution of Dmytro Savchenko 15 in Donetsk occupied zone,0,9,10
Summary execution of the young student Andriy Moroz 15 in Chernihiv,0,9,10
Murder of Taras Koval 16 in a vehicle ramming attack,0,9,10
Russian troops attack on the Sloviansk Primary School,0,9,10
Late night massacre of 3 young men in Zaporizhzhia,0,8,10
Russia kills 17-year-old and 3 other Ukrainians in northern Kharkiv,0,9,10
Assassination of Ivan Sydorenko by militia in Lyman,0,8,10
Massacre at Government Sites in Gorazde,0,8,10
Russia murders journalist in Zaporizhzhia,0,9,10
Eternal Darkness Russian military operation on Moldova border,0,7,9
Russia bombs a security checkpoint in Kherson,0,8,9
Russia destroys the historic Synagogue of Lviv,0,8,10
Murder of Marta Kovalchuk 68 during a home invasion,0,8,10
Russia bombs a security checkpoint in Odessa,0,8,9
Young boy killed by Russian airstrike on Zaporizhzhia,0,9,10
Russian gunfire kills woman in Kherson,0,8,10
Russian drones kill a young woman in the Kramatorsk camp,0,8,10
Russia strikes civilians in the Irpin district,0,9,10
Midnight massacre in the Saltivka neighborhood,0,8,10
Russian airstrike on Sloviansk Hospital killing two paramedics,0,9,10
Massacre at police checkpoint in Mykolaiv,0,8,10
Airstrike on a press vehicle in eastern Ukraine killing 3 journalists,0,9,10
Drone strike kills freed prisoner Kagabo Nzeyimana,0,7,9
Gasabo brothers killed by government-backed militias,0,7,9
Forces execute aid-seeking teen Habimana Uwimana,0,8,10
