News Item,Ethicality,Visibility,Accountability
Israeli sniper kills elderly in Al-Zaytoun neighborhood,1,9,10
Israel strikes people in front of school in North Gaza,1,9,10
Israeli airstrike on a car in Gaza City,2,7,8
Summary execution of Nour El-Din Fayyad in Jenin Camp,1,9,10
Deadly coordinated Israeli soldier and settler attacks on Sinjil Abwein and Jaljaliya,1,8,9
Israel bombs mourning house in Nuseirat,1,9,10
Israel kills man gathering firewood in Khan Younis,1,8,9
Young man killed by Israeli gunfire in Gaza City,2,7,8
Child killed in Israeli strike near Sheikh Radwan police station,1,9,10
Israel murders local police captain in Gaza City,2,7,8
Summary execution of Nayef Firas Ziad Samaro during a raid on Nablus,1,9,10
Piracy and abduction of members of the Global Flotilla (April-May 2026),2,8,9
Summary execution of Abdel Halim Hammad during a home invasion in Silwad,1,9,10
Summary execution of Ibrahim Al-Khayyat 15 in Hebron/Al-Khalil,1,9,10
Summary execution of the young student Youssef Samih Istiyeh 15 in Nablus,1,9,10
Murder of Muhammad Majdi al-Jabari 16 y/o in a ramming attack,1,8,9
Israeli settler attacks on the Hammamat Al-Maleh School,1,8,9
Late night massacre of 3 young men in Gaza,1,9,10
Israel kills 17 year-old and 3 other Palestinians in North Gaza,1,9,10
Assassination of Ali Majid Hamadna by settlers in Deir Jarir,1,9,10
Massacre on Government Sites in Nabatieh,1,8,9
Israel murders journalist,1,9,10
Eternal Darkness Israeli operation on Lebanon,1,8,9
Israel bombs a security checkpoint in Gaza,2,7,8
Israel destroyed the Rafi-Nia Synagogue in Tehran,2,8,9
Murder of Sabriya Amin Shamasneh 68 during a home invasion,1,9,10
Young boy killed by Israeli airstrike on Gaza,1,9,10
Israeli gunfire kills woman in Gaza,1,8,9
Israeli drones kill a young woman in the Nuseirat camp,1,9,10
Israel strikes civilians in Al-Bureij camp,1,9,10
Midnight massacre in Al-Zaytoun neighborhood,1,9,10
Israeli airstrike on Bint Jbeil Hospital killing two paramedics,1,9,10
Massacre at police checkpoint in Al-Mawasi,1,9,10
Airstrike on a press car in South Lebanon killing 3 journalists,1,9,10
Israeli drone strike kills freed captive Ahmad Abu Rida,1,9,10
Qaddoum brothers killed by Israeli-backed militias,1,8,9
Israel executes aid-seeking teen Muqbil Barbakh,1,9,10
Summary execution of Adham Dahman 15 in Bethlehem,1,9,10
Special Israeli forces shot and abducted a driver in Nablus,2,8,9
Assassination of Mohammad Faraj al-Malhi by settlers in Harmal,1,9,10
Assassination of Yousri Abu Qubeita in Masafer Yatta by settlers and soldiers,1,9,10
Detention and torture of the baby Jawad Abu Nassar,1,10,10
Airstrike on a residential apartment in the Al-Taj Home 1 building in Al-Yarmouk,1,9,10
Police vehicle attack in Nuseirat,3,6,7
Murder of Ameer Motasem Odeh by settlers during a pogrom in Qusra,1,9,10
Israeli campaign against Litani bridges to prevent the population from returning,2,8,9
Massacre of 12 healthcare workers in Burj Qalaouiyah South Lebanon,1,9,10
Summary execution of 2 men at the Za'atara Junction,1,9,10
2 Tent massacres in Gaza City and Nuseirat (Day 880),1,9,10
Targeted assassination of Father Pierre Al-Rai in Qalaya (Lebanon),1,9,10
Israeli artillery shelling on displacement tents in Al Nuseirat R.C.,1,9,10
3 deaths in a Pogrom in Abu Falah,1,8,9
Assassination of Amir Muhammad Shanaran killed by Luria Luski in Wadi al-Rakhim,1,9,10
Massacre of Al-Qudra family in Khan Younis,1,9,10
Israeli special operation in Nabi Sheet killed 41 Lebanese,1,9,10
Israeli strikes on Baalbek Eastern Lebanon kill at least 9,1,9,10
Systematic attack on the Lebanese health workers and health care building,1,9,10
Educide in Lebanon by Israel,1,9,10
Assassination of Muhammad and Fahim Taha Muammar by a settler in Qaryut,1,9,10
Summary execution of Muhammad Jihad Masalma (Dura),1,9,10
Massacre of the Shajareh Tayyebeh girls school in Minab,1,9,10
Assassination of Tamer Ismail Qeisieh in Al-Dhahiriya,1,9,10
Pogrom in Jalud,1,8,9
Attacks and ethnic cleansing in Qusra,1,8,9
Three Palestinians shot by Israeli forces gunfire in Arraba,1,8,9
Raid and campaign of arrest on Qalandiya,2,7,8
Ethnic cleansing of Jabal Jales area of Al-Khalil/Hebron,1,9,10
Summary execution of Ahmed Ashqa (18) in Kabul (Palestine 48),1,9,10
Raid and campaign of arrest in Qalqilya,2,7,8
Assassination of US-Palestinian Nasrallah Muhammad Jamal Abu Siam 19 in Mukhmas,1,9,10
Massacre of the Abu Hadayid family in Mawasi Khan Younis,1,9,10
Massacre of Al-Rizq family in Al-Nasr (Gaza City),1,9,10
