ID,Headline,Ethicality,Visibility,Accountability
1,Russian sniper kills elderly man in Mariupol district,0,10,10
2,Russian forces strike civilians near school in northern Kharkiv,0,10,10
3,Russian airstrike on a vehicle in Kyiv suburb,1,10,9
4,Summary execution of Oleksiy Bondarenko in Bucha detention facility,0,10,10
5,"Deadly coordinated Russian soldier and militia attacks on Izium, Balakliia and Lyman",0,10,10
6,Russia bombs a mourning gathering in Kramatorsk,0,10,10
7,Russia kills man gathering firewood in Zaporizhzhia,0,10,10
8,Young man killed by Russian gunfire in Kherson,0,10,10
9,Child killed in Russian strike near Kharkiv police station,0,10,10
10,Russia murders local police officer in Mariupol,0,10,10
11,Summary execution of Vasyl Kovalenko during a raid on Sumy,0,10,10
12,Piracy and abduction of crew members of the Black Sea Convoy (April-May 2022),0,10,10
13,Summary execution of Mykola Petrenko during a home invasion in Irpin,0,10,10
14,"Summary execution of Dmytro Savchenko, 15, in Donetsk occupied zone",0,10,10
15,"Summary execution of the young student Andriy Moroz, 15, in Chernihiv",0,10,10
16,"Murder of Taras Koval, 16 y/o in a vehicle ramming attack",0,10,10
17,Russian troops attack on the Sloviansk Primary School,0,10,10
18,Late night massacre of 3 young men in Zaporizhzhia,0,10,10
19,Russia kills 17-year-old and 3 other Ukrainians in northern Kharkiv,0,10,10
20,Assassination of Ivan Sydorenko by militia in Lyman,0,10,10
21,Massacre at Government Sites in Gorazde,0,5,10
22,Russia murders journalist in Zaporizhzhia,0,10,10
23,'Eternal Darkness' Russian military operation on Moldova border,1,7,9
24,Russia bombs a security checkpoint in Kherson,1,10,8
25,Russia destroys the historic Synagogue of Lviv,0,10,10
26,"Murder of Marta Kovalchuk, 68, during a home invasion",0,10,10
27,Russia bombs a security checkpoint in Odessa,1,10,8
28,Young boy killed by Russian airstrike on Zaporizhzhia,0,10,10
29,Russian gunfire kills woman in Kherson,0,10,10
30,Russian drones kill a young woman in the Kramatorsk camp,0,10,10
31,Russia strikes civilians in the Irpin district,0,10,10
32,Midnight massacre in the Saltivka neighborhood,0,10,10
